DataTable:,LQT2iso_untreated
Date:, January 8 2026 13:55:15
Description:,Combined Primary_DataTable DataTable for group LQT2iso_untreated in plate D:\KIC Drive D\12-22-2025_Elliana\LQT2__199____LQT3__78c1__in_10uM_ROCKinhibitor_20251222173217
Channel:,Nucleus
Nucleus Enabled:,true
Nucleus Folder Name:,DAPI
Nucleus Thresholding Method:,SavitskyGolay
Nucleus Sensitivity:,100.0%
Nucleus Filtering Method:,None
Nucleus Filtering Radius:,5
Nucleus Size:,0
Channel:,Reference
Reference Enabled:,true
Reference Folder Name:,FluoVolt
Reference Thresholding Method:,SavitskyGolay
Reference Sensitivity:,100.0%
Reference Filtering Method:,None
Reference Filtering Radius:,1
Reference Size:,0
Channel:,Calcium
Calcium Enabled:,true
Calcium Folder Name:,FluoVolt
Calcium Thresholding Method:,SavitskyGolay
Calcium Sensitivity:,100.0%
Calcium Filtering Method:,None
Calcium Filtering Radius:,1
Calcium Size:,0
Channel:,Voltage
Voltage Enabled:,true
Voltage Folder Name:,FluoVolt
Voltage Thresholding Method:,SavitskyGolay
Voltage Sensitivity:,100.0%
Voltage Filtering Method:,None
Voltage Filtering Radius:,1
Voltage Size:,0
Channel:,TMRM
TMRM Enabled:,true
TMRM Folder Name:,FluoVolt
TMRM Thresholding Method:,SavitskyGolay
TMRM Sensitivity:,100.0%
TMRM Filtering Method:,None
TMRM Filtering Radius:,1
TMRM Size:,0


Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable

integer,id,ID of each record
2573,6011.0,290.9020453692273,0,1045.0,121.19405926034493,62,0,0.8952938968654996,0.11473676411212101,1.576469778617417,15.804208306941524,60.06103868115757,0.3186474860523511,0.07355210581672068,0.07355210581672068,0.02955532303298683,0.02955532303298683,0.029524564034378392,0.12213090389169656,817.1622492120717,721.2013762907266,628.8489072081691,550.6331505982818,378.7199885945509,747.1710385965453,651.2101656752,558.8576965926426,480.6419399827553,true,true,false,0.8103040970526687,61.68648173327481,1.023663417609793,60.02463199221528,491.6239029243285,0.0036966694789612323,508.77192982456137,8.320665010095087E-5,0.9253626001587385,0.021518185799067502,0.021518185799067502,60.02463199221528,999.5896352647615,1.0215181857990676,1.0215181857990676,1.0,0.9650322645327953,0.06674767271215687,58.357878735598604,73.37354007049211,11.274731460944222,526.7407626395932,1.125141846518081,52.56523002534079,0.034105945824519764,60.150375939849695,7.283093223229569E-4,58.47033939731024,0.0012365303784197686,0.0012235280653077705,4.0,4.0,6.0,185.123; 1209.20; 2181.86; 3208.02; 4183.48,998.9837225179937,1.7740473884660783,29.51244819447539,0.006752772529571272,5.461064804732915,108.49355177097215,997.4937343358395,31.537224063241286,99.73428689849261,0.9979032386341553,3.434095562386488,10.855965682877388,0.10853809197634932,329.1739257122585,10.410443064334517,32.91900730588282,0.32930906253851877,359.1232924516834,0.40852189747742224,11.360117547018906,35.91935473185464,0.35927072448741665,549.981781659927,17.377772951505058,54.967296580891386,0.5502075674426669,612.1391885642145,19.350390296605987,61.19773789803546,0.6123904920263374,723.2420564552245,22.859905344582963,72.2996738227223,0.7235389713336307,886.3186714594007,28.006559504096398,88.58536289213367,527.1953790077173,0.8866825347029947,1.466781786435139,0.9576539991296634,0.7309658392870246,69.15642224732889,30.654081091883235,66.40654682128951,27.90420566584386,64.0245063955744,25.522165240128743,61.50603796593267,23.003696810487014,5.627673136556769,B06,0
2574,5937.0,288.2811128048454,0,1027.0,118.56643707221703,63,0,0.643053028371352,0.17676509092818865,1.8763056956719784,18.810082162125095,60.42932250585479,0.33542474440979203,0.3003277339117231,0.3003277339117231,0.019010287791391876,0.019010287791391876,0.018847781171784657,0.1345918983410567,781.309593478961,738.0514794720959,683.1651256829275,626.8817192863567,324.66180815672874,527.7245735050345,484.4664594981695,429.58010570900103,373.2966993124302,true,true,false,0.8258119699498054,60.798869026002635,1.021816063551239,59.25742574257426,559.5063175400455,0.008395074579391077,583.9598997493733,1.5781251825949013E-4,0.7684340350130661,0.016427753070571316,0.016427753070571316,59.25742574257426,1012.5313283208019,1.0164277530705714,1.0164277530705714,1.0,0.8058300515582693,0.07619119303619505,55.30358104133498,76.28905043545635,9.362802635017168,628.4663978971657,0.934041437971029,62.807563134312836,0.039098389020002275,52.631578947368496,6.557949140328645E-4,58.10679611650486,0.001088682847307314,0.0010800961062353473,4.0,4.0,6.0,160.401; 1192.98; 2211.13; 3197.99; 4210.53,992.8954605471012,1.1265007171433703,19.08396890576692,0.0062010791685266405,5.695946421737088,290.3981687536501,891.6874875569781,28.02731353827442,88.80857363981117,0.8806517513248374,9.115733208233333,28.897234703753107,0.2868041320116495,435.09235417591805,13.666780735678746,43.3146281089934,0.42970754781235476,480.4583855429829,0.5709030726965422,15.089156072879288,47.825392420871054,0.47451211839517377,614.8098985813806,19.313988182670386,61.21034622249776,0.6072008651830962,684.0497381836076,21.480175311506056,68.08492697954776,0.6755837760773749,776.5767326435684,24.39118310873646,77.30599862800264,0.7669656344672867,849.5500421170327,26.70225915148901,84.61057265790737,369.0916565740498,0.8390358089225151,0.7752766997849736,0.8296416985606535,0.765426391813331,68.24044863807185,31.42729985834817,65.92963853176313,29.116489752039456,62.12099389616333,25.30784511643965,57.16801889725093,20.354870117527256,4.95274822164623,B06,0
2575,6095.0,292.5884481656786,0,1081.0,122.86578042726136,64,0,0.8673714402896315,0.12235429082165081,1.9376447933558865,19.425010459708133,59.876830592610006,0.1918286541307265,0.02800900668703876,0.02800900668703876,0.027532347893431352,0.027532347893431352,0.027542489687745694,0.1411055508560624,846.8735880222897,782.7662601787929,681.3330454792266,594.8194563006927,417.5310826673184,687.3403896077991,623.2330617643024,521.7998470647361,435.2862578862022,true,true,false,0.6707653183357632,61.57343679931861,1.013451052828582,59.964039044260694,486.387113686681,0.006795698738171796,651.6290726817042,8.568979289524156E-5,0.882807442759796,0.012934450934892816,0.012934450934892816,59.964039044260694,1000.599708697287,1.0129344509348928,1.0129344509348928,1.0,0.9243457295803426,0.06027603151606674,43.75282396229254,63.00942730787537,7.143844849972064,531.5109508638799,0.7130655822180392,53.06208881018617,0.031489662398597,45.1127819548872,4.0539193353428656E-4,58.28492900516351,0.001124505909001237,0.0011172869844954679,4.0,4.0,6.0,180.067; 1198.82; 2178.59; 3208.02; 4182.47,1002.0570462092093,1.6509507840618862,27.559007158356373,0.004144480280201828,3.685601157830171,188.71356453981517,967.2205261026531,30.546945694430768,96.63779788406859,0.966640823193831,5.935596191711936,18.803470608708604,0.18860045920411814,346.40269851375973,10.935512877999773,34.60027527606686,0.34619508231193924,384.07380490806696,0.42281360195720474,12.123446892417162,38.360312444564386,0.3838436105564182,530.1399376489735,16.740525678274352,52.96261832195404,0.5298221986684163,642.8013855250774,20.30794815339578,64.23862466626547,0.6424161229888435,781.1227413528172,24.689686281940148,78.08665034889061,0.7806545760140047,910.8247038897124,28.774676574444157,91.02175009276385,526.7508989816454,0.9102788017753317,1.3962792717447456,0.9292807648275299,0.8263108708170099,63.95111586742268,34.770749742098005,57.08381423847642,27.903448113151747,51.6099682178915,22.429602092566824,47.981929224384764,18.80156309906009,2.308166368722762,B06,0
2577,5236.0,270.95387061269304,0,750.0,101.23240587875011,66,0,0.9339567445553516,0.12483734441214657,1.7439612102835265,17.483320403844875,59.969649333288984,0.41164410291262526,0.07336740254312225,0.07336740254312225,0.016149787276018443,0.016149787276018443,0.01613512752846516,0.09571339861282935,821.125584190978,702.8950102181968,630.5068139733769,570.0716870070348,376.6381486084996,676.8470150179081,558.616441045127,486.228244800307,425.79311783396486,true,true,false,0.8900305618718538,61.07142857142856,1.0286975061408083,60.07947949236098,498.4531805408211,0.004387198011626286,573.9348370927318,1.1920588784269618E-4,0.9552423492720925,0.026159410117878423,0.026159410117878423,60.07947949236098,998.677094192018,1.0261594101178784,1.0261594101178784,1.0,0.9685985269637685,0.08233536976281086,77.84555676980483,87.71929824561411,14.462602187762288,558.7771106129514,1.4426498222848898,55.745045760994614,0.03716937223580165,77.69423558897255,9.739835458949228E-4,59.25742574257426,0.0012679106643033787,0.001251239544129144,4.0,4.0,6.0,190.476; 1203.01; 2185.46; 3197.99; 4185.18,1000.5061004532866,0.9702708134555423,16.113782274545223,0.00857490193603059,6.763017440776753,197.97578116695146,963.3258695090192,30.475947283224702,96.35927036992608,0.9646019470271321,6.259432219780941,19.795127432593194,0.19823803141006677,357.19613230742243,11.297082485536063,35.722687030165915,0.35766929509524076,406.4556831911688,0.44975559294665557,12.855562367529238,40.650209153730415,0.40699409804729,576.2987373106259,18.227639861412747,57.63688474067716,0.5770621361621213,649.9882646171774,20.562239610252092,65.01492902342854,0.6508492769057168,752.308740811921,23.794578329530804,75.2399261384229,0.7533052927588954,906.8942022777242,28.686318082375756,90.70537869883148,500.43851908655535,0.9080955271247599,1.2338600591816542,0.9462667740435394,0.6885493449463573,85.76861808674619,32.0714060928646,83.81793792787826,30.120725933996674,81.8672577690104,28.170045775128806,79.91657761014264,26.219365616261058,9.940214482561341,B06,0
2578,6260.0,296.6479394838265,0,1169.0,127.53038853543887,67,0,0.8337549689745464,0.1578180135702786,1.383616743991796,13.8708445512962,59.79203101885153,0.4467343010324956,0.1346002667401084,0.1346002667401084,0.015697921356161538,0.015697921356161538,0.015693035747224235,0.10643713414352915,823.2683242585045,755.3795119758576,627.4495730751207,549.3333594276903,507.55188679021006,779.3972188061343,711.5084065234873,583.5784676227504,505.46225397532004,true,true,false,0.9166792081234009,60.89674916741645,1.0334550624199108,60.01061402789775,455.23098080752294,0.006832227028640495,621.5538847117795,2.1160757804549168E-4,0.9448941458672048,0.02840731335191804,0.02840731335191804,60.01061402789775,999.8231308232771,1.028407313351918,1.028407313351918,1.0,0.9653500152247683,0.07383871375206488,53.38411496599866,65.48208373725917,13.97039512003467,500.12066771741377,1.3942529372180819,49.91337219500643,0.03658575773981521,55.13784461152881,0.0010328763125645516,59.158268058389716,0.0011301418640961073,0.0011160411946322724,4.0,4.0,6.0,183.977; 1198.21; 2185.46; 3197.99; 4183.27,1003.4782056672886,0.9420418995449032,15.69026013291134,0.008198365764239613,7.254280214454939,73.99612849506622,1005.0125313283207,31.782431463041213,100.50315061832522,1.0051903185124058,2.3412589780667603,7.402306995587056,0.07400921844460241,222.50886914378472,7.039029383453219,22.25642486958374,0.22254823106619454,266.77743352421516,0.30463911775975655,8.435086474542796,26.675168488780322,0.2668246265762471,508.6150957735216,16.076614704283028,50.84605555535863,0.5087050700204508,604.9556069508402,19.121795246357006,60.477160436884944,0.6050626238789915,743.7023246998914,23.5069399901755,74.34667762913818,0.7438338859869245,886.3918488071286,28.00916401908045,88.59444541598668,619.6144152829133,0.8865486519373215,2.312346313410994,0.9584723608915524,0.753313411012631,63.12352454862398,32.99850150592806,59.7940186981833,29.66899565548738,57.71045200723525,27.585428964539325,55.6222475231499,25.49722448045398,5.969568100056916,B06,0
2579,5801.0,285.15259072994587,0,971.0,115.44695751729449,68,0,0.8761187031297958,0.11943884391884103,2.477842329805252,24.84052460957646,59.71871260825034,0.15084941921527012,0.0441219337664636,0.0441219337664636,0.03533426537631113,0.03533426537631113,0.035285131678073366,0.08798787793592705,760.2039744130179,680.7107582773407,625.8638272141902,539.6162218343406,381.12102518596885,653.7056497378446,574.2124336021675,519.3655025390169,433.11789715916746,true,true,false,0.6140416854356391,61.84821234460435,1.0114053618910233,59.95623738098201,476.7882038832777,0.004480705725713479,423.5588972431079,4.824603970335627E-5,0.8477935935772768,0.010787716257330382,0.010787716257330382,59.95623738098201,1000.7299093627224,1.0107877162573304,1.0107877162573304,1.0,0.9036066120561899,0.0731885390870122,52.989669389564014,66.7727241139813,5.512048865043887,509.7801989349851,0.5505104565505924,50.91728734879716,0.039458851630423994,52.631578947368354,4.262768040987668E-4,58.15302702371785,0.0011437438725816374,0.0011379305347049287,4.0,4.0,6.0,183.517; 1215.28; 2185.46; 3216.32; 4186.44,1004.7102052181681,2.118509602584724,35.310886626050085,0.0035592072573211323,3.111891869013782,145.23008978597258,982.6605826737302,31.0375872028983,98.18577863233867,0.9819438526620045,4.576830198814104,14.489432064552913,0.14512416230115172,315.3155893724677,9.96442030389301,31.516543368031474,0.3150856054389987,352.32288162423845,0.42723627947047693,11.125397106401614,35.19757841077887,0.3520659054235744,529.7778732728417,16.73548669042019,52.93938963055728,0.5293914654856384,594.5123775496988,18.7865205821202,59.42099689679541,0.5940787539050291,708.6626454512805,22.38944786248784,70.82134858151394,0.7081457632285277,833.4758590587363,26.346398434993265,83.32344999167296,481.15297743449787,0.832867940950725,1.4218354806419926,0.9340248574534805,0.7541617241022892,73.27188464571839,34.54011953491906,61.85486856442628,23.12310345362696,57.699279487639146,18.967514376839823,54.89615571535809,16.16439060455877,4.632035076759578,B06,0
2580,7357.0,324.2653234621303,0,1589.0,154.51860729374957,69,0,0.8673988188512002,0.12370280326100803,1.7188918271160645,17.231998266827713,60.15543959611183,0.3595200486327989,0.12410685894972394,0.12410685894972394,0.01885865766224888,0.01885865766224888,0.018853454894197295,0.09829953643749192,815.9300966402188,730.8566864265367,632.8137138863416,570.4922082957677,383.3789081122459,730.9593906372181,645.885980423536,547.8430078833409,485.5215022927669,true,true,false,0.8471579493792757,61.07142857142856,1.0206821447143561,59.98298417288439,501.08201537156845,0.0060774737098144484,486.21553884711784,1.1892601501852022E-4,0.9279461564835844,0.018087930375841055,0.018087930375841055,59.98298417288439,1000.2836775687346,1.018087930375841,1.018087930375841,1.0,0.9439420593633402,0.06747016391678691,72.64354371467057,86.22883749660707,9.886916711622574,553.5966180188622,0.9864592981910895,55.23452386179828,0.03500419737493181,75.18796992481211,6.238074215872944E-4,58.90756487579077,9.580878329186708E-4,9.495286800496278E-4,4.0,4.0,6.0,184.463; 1203.01; 2185.46; 3199.95; 4185.60,997.4160342413676,1.1311985640765196,18.858803196443926,0.005780412812914459,6.033280680859185,130.45482546982936,969.2734441764512,30.63556937319122,96.89384085896667,0.9689985610205536,4.123478795101068,13.04145885809993,0.1304178288572195,362.5876459305158,11.460423645715144,36.246683847993644,0.3624848171188923,387.0804957191285,0.4325606425029274,12.23355803004959,38.693002779864514,0.38697072080587885,573.725559086239,18.1296129736279,57.34433841050924,0.5735628521708187,645.9681606503418,20.408212852926923,64.55608150743927,0.6457849659412782,760.2890626913653,24.024550889443795,75.99060597338618,0.7600734469038879,900.051590909981,28.4349597033418,89.94721023570054,512.9710951908525,0.8997963388722134,1.320350956478229,0.9455817829632127,0.7193656827390555,84.12149426976214,38.637374802933536,80.39884066538198,34.91472119855338,77.95081251680875,32.466693049980165,75.47595235457418,29.99183288774558,6.798246487122083,B06,0
2581,6860.0,310.9983922788026,0,1420.0,141.2515486640766,70,0,0.8147507413797195,0.14160886070458054,1.508457350867101,15.122379457314295,60.48129600650332,0.3281051884832636,0.13582895133017528,0.13582895133017528,0.021868544497526638,0.021868544497526638,0.02185522460191271,0.1123196520395192,832.8942656446463,789.5634221391533,675.8471038628127,599.6605886023117,449.6721892961481,723.5556409257401,680.2247974202471,566.5084791439065,490.3219638834055,true,true,false,0.8191142083162388,61.25461992061834,1.022546553444621,60.013284637286645,526.2880791819952,0.008942804163690839,689.2230576441102,1.892989045694956E-4,0.9135713016611703,0.020048141210815995,0.020048141210815995,60.013284637286645,999.7786383903675,1.020048141210816,1.020048141210816,1.0,0.9256753913063323,0.06569436815613733,78.1356819167745,91.77704981626408,11.498596810827166,575.9209444829497,1.1475287789203263,57.4792952002032,0.03361501736618015,82.70676691729321,6.820766859832858E-4,58.84013254974492,0.001090597274977764,0.0010793683011899844,4.0,4.0,6.0,178.398; 1196.01; 2178.28; 3197.99; 4177.51,992.0422339089498,1.3124031855332348,21.850386694215953,0.0061002260175005455,5.59347263876569,142.51528464955538,990.6019772040396,31.312983295445143,99.03264849491393,0.9908213070034161,4.515855913925924,14.270621120065378,0.14254683904729493,376.4690828955456,11.90745061331403,37.65170299852287,0.376552437149144,431.8461074858779,0.47070774701580953,13.656740746420844,43.18537574001872,0.43194172280090454,604.4237610987697,19.10411107693855,60.421864848342075,0.60455758693933,680.0370394158906,21.491040896289633,67.97431923529541,0.6801876068393926,849.5544258629428,26.828935628202128,84.87800507455074,0.8497425262363236,923.5601194491053,29.187004932883593,92.3160294485533,491.7140119632274,0.9237646054690934,1.1382862658404638,0.9195884932659086,0.7470082417326078,90.66585380445888,57.48919387380967,85.4735882855257,52.29692835487649,82.61721971038327,49.44055977973406,80.37645081357897,47.19979088292976,6.443853333928781,B06,0
2583,5528.0,278.3666646708977,0,863.0,109.81803130633877,72,0,0.8529500724491954,0.12399759272448749,1.722422297143814,17.267391450063297,59.806491739916886,0.4504483457252489,0.13681792372214732,0.13681792372214732,0.02050171182985339,0.02050171182985339,0.020493925875406802,0.12753760883659881,828.6637001792045,788.0116942399802,685.7490586514605,605.3215156786365,373.3722798974263,642.5763841645412,601.9243782253168,499.6617426367971,419.2341996639732,true,true,false,0.9194064016290758,61.142093774199836,1.0292694606304218,60.023758021218775,548.4818433675894,0.009086381231569476,671.6791979949874,2.5241103834734084E-4,0.9227472294302272,0.025955602520911336,0.025955602520911336,60.023758021218775,999.6041897075092,1.0259556025209113,1.0259556025209113,1.0,0.939945030810439,0.06449554489766998,81.0000709230232,95.05521412969009,15.768103816264889,589.8693445409941,1.5737685137289312,58.87316101665098,0.03224301890035111,82.70676691729335,8.380950046088109E-4,58.907995583163114,0.00114726327321287,0.0011307405485874945,4.0,4.0,6.0,182.034; 1198.14; 2179.46; 3197.99; 4180.45,1003.2355728358826,1.2305897898958782,20.485814168611775,0.008382223082633871,7.306276840153484,232.94669986808668,1005.0125313283207,31.77620594420042,100.48966357832582,1.005410483145728,7.359191144317932,23.27922641121546,0.23303893907872517,428.0820212881393,13.53298962633317,42.79907572887448,0.42825152765055824,471.03880842199067,0.5124811696896762,14.890392989802226,47.09258941689693,0.47122532425541325,629.4819142906126,19.89344374281491,62.92124586752379,0.6297311683685551,688.7962041205711,21.769233673839423,68.85284900364546,0.6890689447011196,822.5735815031281,25.990990016680723,82.21222320030918,0.822899293513184,919.7210398570332,29.069731470126314,91.94094241210104,448.6822314350426,0.9200852190567045,0.9586479380371664,0.891502988172124,0.7217449925115145,91.0573396778288,44.197955824405454,87.94855162516535,41.08916777174202,85.6661533669222,38.80676951349886,83.4746884419346,36.61530458851127,8.51372941133737,B06,0
2584,6048.0,291.1528808031959,0,1078.0,121.43310915891102,73,0,0.8993070417882852,0.10885541228445977,1.409015996149757,14.125473645611597,60.09838458589745,0.5253924801905512,0.0748095938808729,0.0748095938808729,0.02380636799585563,0.02380636799585563,0.02378503370031798,0.08767887987128921,820.8417906037978,718.5502330493699,639.2169437892551,562.5415270156441,364.35949128528955,672.2093463225248,569.9177887680969,490.58449950798206,413.9090827343711,true,true,false,0.9710667581261131,61.41696245291837,1.0297735197537539,60.04031812481565,509.36422969222184,0.004401467777887595,626.5664160401002,1.2770344125321068E-4,0.9479700781982494,0.02781994023774459,0.02781994023774459,60.04031812481565,999.328482491851,1.0278199402377446,1.0278199402377446,1.0,0.9747518103868098,0.058220913210824454,56.65553693618759,73.01492107932958,15.12728354089303,547.6776788614045,1.5090946864058614,54.636063591861124,0.03128598694463681,60.150375939849674,8.602474212152771E-4,58.822231221872734,0.0010715162255880348,0.0010566335145852565,4.0,4.0,6.0,182.985; 1203.01; 2179.94; 3199.66; 4180.30,998.3629412574837,1.429341907867602,23.769061633756305,0.008953048168153654,8.355494722667716,186.0184364906802,992.4812030075188,31.387521973815407,99.25224424163824,0.9931481193578529,5.88470991993063,18.606454474895685,0.18614343506635425,351.9739237877056,11.126798237435358,35.189405704511756,0.35221043926422435,396.02594927370075,0.4485967408054572,12.522961015600204,39.60112100262542,0.39629206633458497,566.0197666284095,17.89419057293792,56.590927537896775,0.566400114221727,622.1615548201853,19.66718879596416,62.200063506823895,0.6225796279405643,733.2834747767756,23.18011530223833,73.3098953573306,0.733776218354464,890.760217958933,28.14746271019703,89.0310269843929,494.7342686852323,0.8913587809864078,1.2446082503514324,0.9412864175195705,0.7615311837336307,69.91842735513524,32.532435145727995,65.65712280990554,28.27113060049831,62.49603837184831,25.110046162441073,59.6200278045412,22.234035595133967,4.538266525484246,B06,0
2585,7213.0,317.68852670501025,0,1613.0,150.35291816256844,74,0,0.7910008001099434,0.13204123629457054,1.730832678997992,17.351706055117713,59.62210347006006,0.3323600385985566,0.43497389318848717,0.43497389318848717,11.403760294270018,11.403760294270018,0.6345397533896806,0.6527155593281431,653.8440042897546,597.6833184504599,539.1574557931722,484.5753635699995,319.6542685870183,486.1378904658498,429.9772046265551,371.45134196926745,316.8692497460948,true,true,false,0.823020169832581,1669.4888388100878,1.0232624964713062,80.46704148734382,419.312110400526,0.013397843415586547,601.5037593984962,1.4000872320339493E-4,0.859585581415969,0.01654064327979954,0.01654064327979954,80.46704148734382,745.6468995375833,1.0165241816593442,1.0182563360429917,1.001715692763192,0.6107230347264719,0.2073207017934984,27.183508527497963,39.07501553583256,7.665656975531324,453.2238597673036,0.7642405135788903,45.26247165212545,0.05055000422209294,27.568922305764374,6.865776110756028E-4,60.98458207495242,0.001034274053064495,0.0010223516876266224,4.0,4.0,6.0,1192.98; 2172.43; 2208.37; 3192.22; 4175.57,1006.3381951985257,917.6268527107497,473.14259974835807,0.005846793151836511,5.653040540379792,185.97140866269103,719.5243801798074,23.665087068890994,73.44446359929074,0.9649666358513984,6.003499353120831,18.813688254784044,0.24940948427200885,289.59306523729657,9.41251912466196,29.391988643539616,0.3883782865816101,325.0799567334678,0.44098866891540267,10.578819733680637,33.01279675212453,0.4359703727529314,446.495618928024,14.589715577937412,45.432246232441855,0.598803024869976,513.3784302743576,16.79203577769039,52.2628422256289,0.6885007241265696,618.4420002279323,20.24626763182463,62.984525551015366,0.8294033014976154,688.7209439473752,22.59212362410858,70.21008179693573,363.6409872139074,0.9236556128302672,1.3747463160801163,0.90693103703562,0.8523440348218912,34.87693965762065,16.61164481883435,32.389135819403236,14.123840980616933,30.59610126188062,12.330806423094316,28.80306670435806,10.537771865571756,3.4165512967995877,B06,0
2586,5553.0,279.660508474114,0,869.0,109.95453605922768,75,0,0.853092586722147,0.12396691030183568,1.776412174935673,17.808643357751105,60.02344719103913,0.24161616010603762,0.1156303102791626,0.1156303102791626,0.026814561510088025,0.026814561510088025,0.026796326549438025,0.07801941460646869,835.8946001702375,689.4913245925377,609.6782208545596,545.0209122761955,413.57630404183817,761.5193827967644,615.1161072190646,535.3030034810865,470.64569490272237,true,true,false,0.7309942243454424,61.50282543922975,1.018813858034257,60.03849901860097,472.5116768948908,0.006043799364253559,681.704260651629,1.0711513764126359E-4,0.8964393322233886,0.016697014236129792,0.016697014236129792,60.03849901860097,999.3587611410964,1.0166970142361298,1.0166970142361298,1.0,0.9313501967619109,0.06309459952225732,71.10345572253766,86.92285300393881,8.877417804029363,537.1970362478271,0.8864589295242449,53.643640179608454,0.0329524051899818,70.17543859649132,5.488799655033042E-4,58.5879144453048,0.0011711353061194924,0.0011613745668023312,4.0,4.0,6.0,183.016; 1203.95; 2179.52; 3203.62; 4180.45,999.609366137128,1.6099060249076353,26.779143703578654,0.005132648324928301,4.382626241484527,120.36700572695312,1012.531328320802,32.019234672553246,101.25200620478631,1.0131810193615203,3.809975440362751,12.044191734804311,0.12044423925349355,310.4972927419024,9.823833513500633,31.059910197737587,0.3106965234260495,354.7561310130766,0.3892781481699751,11.229829498703655,35.499235542331135,0.3549837603945213,543.6151326174285,17.188578513979344,54.35640118612793,0.543963943435802,618.6239037570587,19.557132814265618,61.84993711829153,0.6190208439766879,738.2300682832852,23.3277227399145,73.78572733660319,0.7387037538354625,922.3577853991717,29.15055618077296,92.19865660451052,567.6016543860951,0.922949616558119,1.646476932848341,0.9534771321973512,0.7566399847973762,86.46318522893414,40.471396875454104,79.49250315986453,33.50071480638449,76.3610904059394,30.36930205245936,73.60299148086321,27.611203127383185,5.4182784217108795,B06,0
2587,4305.0,250.2079135439165,0,666.0,94.89994731294638,76,0,0.6057595987536304,0.24492808758117324,1.1969857711963277,11.999857355351656,60.63073163297054,0.4457527651413279,0.3610224688737102,0.3610224688737102,0.018917990802722783,0.018917990802722783,0.018911836967931386,0.10049510573983436,815.7596699714888,761.4142526308212,655.9526933194418,577.1462910963105,403.088227038538,704.2084381191231,649.8630207784556,544.401461467076,465.5950592439448,true,true,false,0.9159556039291671,61.07142857142857,1.0335395412398147,60.00000000000001,489.3102466441948,0.008008917081332275,684.2105263157894,2.455249567196253E-4,0.8676238101449852,0.02520339599447119,0.02520339599447119,60.00000000000001,999.9999999999999,1.0252033959944713,1.0252033959944713,1.0,0.8964349598688381,0.07901478630624809,40.09031752857804,50.91239315418577,12.967410768867534,603.6011855372487,1.2934992241945364,60.294240701242884,0.04126726804112672,40.10025062656649,0.001047174613140969,58.945385346243135,0.0013048517619027639,0.0012914112405397946,4.0,4.0,6.0,210.526; 1192.98; 2207.73; 3192.63; 4210.53,989.597162759165,1.135079448163367,18.911836967931382,0.009447829695450433,7.240538711978591,135.30393908950393,902.8171423735491,28.574576088491938,90.33373538945293,0.9028171423735493,4.264923461655119,13.501280470792718,0.13530393908950394,314.2680228540749,9.932394140471548,31.414692943147532,0.31426802285407496,347.394316496561,0.41584296497157186,10.976483431212403,34.720010595115305,0.347394316496561,529.4005641727729,16.744527723034523,52.94685601495466,0.5294005641727729,619.1261661962686,19.591066498370584,61.93867355933357,0.6191261661962687,728.0446346742235,23.039090861470573,72.83828231369787,0.7280446346742236,864.8236475674636,27.380555048598886,86.55009354667118,517.4293310709027,0.8648236475674637,1.6176973218713173,0.9039431106586318,0.7669549474887756,49.063977595974826,25.311270358836566,46.17385406016937,22.42114682303111,43.9381426297463,20.185435392608042,41.97987509995816,18.227167862819897,4.835565909685768,B06,0
2589,7046.0,322.58952245849525,0,1781.0,159.1979899370592,78,0,0.8055958858930454,0.18979937952292797,1.8189887795242616,18.23547648645876,60.54914664786118,0.3382387860058932,0.4299976685187267,0.4299976685187267,12.127047182968605,12.127047182968605,0.63676655824798,0.6553918726262902,588.863300816409,562.0278552119204,467.9324613405193,440.3434403272249,267.2137850762916,477.86060335474394,451.0251577502553,356.9297638788542,329.34074286555983,true,true,false,0.8283597175032728,1749.8069263152295,1.0229454481453708,79.53488372093025,393.52549709836234,0.012463075696063669,320.8020050125313,1.2699764921842363E-4,0.8929747884191673,0.015880693808634272,0.015880693808634272,79.53488372093025,754.3859649122805,1.0158663307295241,1.0173633648217442,1.00148267101311,0.6231732207209919,0.24135005458385017,42.426444382614875,53.08530464815061,6.779128603728903,437.8072371300933,0.6762180782219583,43.72901196503294,0.048905412723389566,42.606516290726745,6.798617166597748E-4,58.90666053984541,0.0010187237911736707,0.0010089206383310791,4.0,4.0,6.0,1192.98; 2175.44; 2209.73; 3191.97; 4210.53,990.9305633809362,964.5232875756427,480.36775446777426,0.005842730368800318,5.735343004082504,145.03808184219736,684.8791087948812,22.789101029799404,70.22912886632365,0.9078630046815869,4.6882967206741775,14.664841653492847,0.19225978290709886,293.04951917249093,9.51865292772092,29.70156686295423,0.38846099053097644,315.67966935768203,0.44694899498273205,10.280480570796403,32.03524472733616,0.4184590965904158,435.9519414809772,14.268906207351424,44.34569602661025,0.5778897828933885,484.44251569779306,15.89699403573045,49.34088772841419,0.6421679859249816,569.433638338249,18.771125876538882,58.126568461555735,0.7548306368669814,640.691151294646,21.247718021271737,65.59317744493102,325.011481936964,0.84928827032081,1.3881331192579331,0.9151729520744288,0.7441652892673821,51.82785047823694,17.792466097704676,48.60550197028772,14.570117589755455,46.168279107110266,12.132894726578002,44.09907537056813,10.063690990035866,4.544155213160267,B06,0
